SCIP version 5.0.0 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: NONE] [GitHash: 3bbd232]
Copyright (C) 2002-2017 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

External codes: 
  Readline 6.3         GNU library for command line editing (gnu.org/s/readline)
  CppAD 20160000.1     Algorithmic Differentiation of C++ algorithms developed by B. Bell (www.coin-or.org/CppAD)
  ZLIB 1.2.8           General purpose compression library by J. Gailly and M. Adler (zlib.net)
  GMP 6.1.0            GNU Multiple Precision Arithmetic Library developed by T. Granlund (gmplib.org)

user parameter file <scip.set> not found - using default parameters

read problem <../../Split_data/output/madelon_train/7/4_sample_madelon_train.logreg>
============

File name	:	../../Split_data/output/madelon_train/7/4_sample_madelon_train.logreg
Problem name 	:	4_sample_madelon_train
Number of data	:	1600
Number of var	:	500
The given data has linear independence

[dim=1] time: 1.76605
[dim=2] time: 3.58842
[dim=3] time: 5.30143
[dim=4] time: 7.01283
[dim=5] time: 8.78428
[dim=6] time: 10.5991
[dim=7] time: 12.4146
[dim=8] time: 14.2522
[dim=9] time: 16.0355
[dim=10] time: 17.8144
[dim=11] time: 19.6352
[dim=12] time: 21.5519
[dim=13] time: 23.5866
[dim=14] time: 25.5417
[dim=15] time: 27.6089
[dim=16] time: 29.746
[dim=17] time: 31.821
[dim=18] time: 33.742
[dim=19] time: 35.8469
[dim=20] time: 38.0625
[dim=21] time: 40.3866
[dim=22] time: 42.4308
[dim=23] time: 44.7086
[dim=24] time: 47
[dim=25] time: 49.1064
[dim=26] time: 51.3402
[dim=27] time: 53.4667
[dim=28] time: 55.6066
[dim=29] time: 57.7826
[dim=30] time: 60.1189
[dim=31] time: 62.4732
[dim=32] time: 64.7406
[dim=33] time: 68.2038
[dim=34] time: 70.605
[dim=35] time: 72.9331
[dim=36] time: 75.4429
[dim=37] time: 77.8563
[dim=38] time: 80.3719
[dim=39] time: 82.843
[dim=40] time: 85.2931
[dim=41] time: 87.9198
[dim=42] time: 90.738
[dim=43] time: 93.2694
[dim=44] time: 95.9674
[dim=45] time: 98.9053
[dim=46] time: 101.718
[dim=47] time: 104.232
[dim=48] time: 106.902
[dim=49] time: 109.653
[dim=50] time: 112.208
[dim=51] time: 115.128
[dim=52] time: 117.903
[dim=53] time: 120.979
[dim=54] time: 123.924
[dim=55] time: 127.127
[dim=56] time: 130.13
[dim=57] time: 132.968
[dim=58] time: 135.732
[dim=59] time: 138.999
[dim=60] time: 141.655
[dim=61] time: 144.579
[dim=62] time: 147.362
[dim=63] time: 150.569
[dim=64] time: 153.522
[dim=65] time: 156.757
[dim=66] time: 159.623
[dim=67] time: 163.114
[dim=68] time: 166.383
[dim=69] time: 170.164
[dim=70] time: 173.811
[dim=71] time: 177.341
[dim=72] time: 180.72
[dim=73] time: 184.366
[dim=74] time: 188.081
[dim=75] time: 191.722
[dim=76] time: 195.173
[dim=77] time: 198.304
[dim=78] time: 201.875
[dim=79] time: 205.71
[dim=80] time: 209.23
[dim=81] time: 212.83
[dim=82] time: 216.308
[dim=83] time: 219.735
[dim=84] time: 223.597
[dim=85] time: 227.659
[dim=86] time: 231.07
[dim=87] time: 235.02
[dim=88] time: 238.9
[dim=89] time: 242.688
[dim=90] time: 246.247
[dim=91] time: 249.915
[dim=92] time: 253.521
[dim=93] time: 257.355
[dim=94] time: 260.973
[dim=95] time: 265.37
[dim=96] time: 269.228
[dim=97] time: 272.903
[dim=98] time: 277.109
[dim=99] time: 281.425
[dim=100] time: 285.374
[dim=101] time: 289.8
[dim=102] time: 293.936
[dim=103] time: 298.196
[dim=104] time: 302.347
[dim=105] time: 306.386
[dim=106] time: 311.1
[dim=107] time: 315.86
[dim=108] time: 320.277
[dim=109] time: 324.77
[dim=110] time: 328.979
[dim=111] time: 333.604
[dim=112] time: 338.271
[dim=113] Time of forward = 342.316sec.
AIC: 1959.39
k: 112

[dim=500] time: 191.577
[dim=499] time: 261.821
[dim=498] time: 357.522
[dim=497] time: 420.814
[dim=496] time: 507.724
[dim=495] time: 597.464
[dim=494] time: 652.786
[dim=493] time: 756.786
[dim=492] time: 844.582
[dim=491] time: 896.899
[dim=490] time: 985.947
[dim=489] time: 1087.42
[dim=488] time: 1189.64
[dim=487] time: 1301
[dim=486] time: 1372.38
[dim=485] time: 1450.8
[dim=484] time: 1535.12
[dim=483] time: 1632.97
[dim=482] time: 1699.65
[dim=481] time: 1770.75
[dim=480] time: 1832.4
[dim=479] time: 1893.24
[dim=478] time: 1935.96
[dim=477] time: 2005.66
Time of backward = 2005.66sec.
AIC: 2455.09
k: 477
