SCIP version 5.0.0 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: NONE] [GitHash: 3bbd232]
Copyright (C) 2002-2017 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

External codes: 
  Readline 6.3         GNU library for command line editing (gnu.org/s/readline)
  CppAD 20160000.1     Algorithmic Differentiation of C++ algorithms developed by B. Bell (www.coin-or.org/CppAD)
  ZLIB 1.2.8           General purpose compression library by J. Gailly and M. Adler (zlib.net)
  GMP 6.1.0            GNU Multiple Precision Arithmetic Library developed by T. Granlund (gmplib.org)

user parameter file <scip.set> not found - using default parameters

read problem <../../Split_data/output/madelon_train/9/3_sample_madelon_train.logreg>
============

File name	:	../../Split_data/output/madelon_train/9/3_sample_madelon_train.logreg
Problem name 	:	3_sample_madelon_train
Number of data	:	1600
Number of var	:	500
The given data has linear independence

[dim=1] time: 1.67235
[dim=2] time: 3.39066
[dim=3] time: 5.05627
[dim=4] time: 6.72909
[dim=5] time: 8.46577
[dim=6] time: 10.2198
[dim=7] time: 12.0807
[dim=8] time: 13.8187
[dim=9] time: 15.6231
[dim=10] time: 17.4888
[dim=11] time: 19.3091
[dim=12] time: 21.1597
[dim=13] time: 23.0848
[dim=14] time: 24.9624
[dim=15] time: 26.7948
[dim=16] time: 28.7031
[dim=17] time: 30.6739
[dim=18] time: 32.6956
[dim=19] time: 34.609
[dim=20] time: 36.5367
[dim=21] time: 38.4279
[dim=22] time: 40.4762
[dim=23] time: 42.4253
[dim=24] time: 44.3426
[dim=25] time: 46.4097
[dim=26] time: 48.402
[dim=27] time: 50.5717
[dim=28] time: 52.7734
[dim=29] time: 54.8294
[dim=30] time: 57.0681
[dim=31] time: 59.4036
[dim=32] time: 61.6698
[dim=33] time: 64.0242
[dim=34] time: 66.4293
[dim=35] time: 68.8309
[dim=36] time: 71.2255
[dim=37] time: 73.5973
[dim=38] time: 76.0774
[dim=39] time: 78.5322
[dim=40] time: 80.9006
[dim=41] time: 83.4159
[dim=42] time: 85.8127
[dim=43] time: 88.2669
[dim=44] time: 90.7493
[dim=45] time: 93.4256
[dim=46] time: 96.0329
[dim=47] time: 98.6789
[dim=48] time: 101.389
[dim=49] time: 103.952
[dim=50] time: 106.675
[dim=51] time: 109.431
[dim=52] time: 112.159
[dim=53] time: 114.885
[dim=54] time: 117.696
[dim=55] time: 120.42
[dim=56] time: 123.247
[dim=57] time: 126.113
[dim=58] time: 128.783
[dim=59] time: 131.696
[dim=60] time: 134.649
[dim=61] time: 137.652
[dim=62] time: 140.634
[dim=63] time: 143.696
[dim=64] time: 146.678
[dim=65] time: 149.727
[dim=66] time: 152.773
[dim=67] time: 155.614
[dim=68] time: 158.555
[dim=69] time: 161.583
[dim=70] time: 164.701
[dim=71] time: 167.941
[dim=72] time: 171.197
[dim=73] time: 174.38
[dim=74] time: 177.389
[dim=75] time: 180.555
[dim=76] time: 183.661
[dim=77] time: 187.098
[dim=78] time: 190.669
[dim=79] time: 194.192
[dim=80] time: 197.314
[dim=81] time: 200.39
[dim=82] time: 203.6
[dim=83] time: 206.989
[dim=84] time: 210.568
[dim=85] time: 214.347
[dim=86] time: 218.245
[dim=87] time: 221.96
[dim=88] time: 225.933
[dim=89] time: 229.837
[dim=90] time: 233.646
[dim=91] time: 237.323
[dim=92] time: 241.176
[dim=93] time: 245.136
[dim=94] time: 248.782
[dim=95] time: 252.819
[dim=96] time: 256.502
[dim=97] time: 260.371
[dim=98] time: 264.381
[dim=99] time: 268.57
[dim=100] time: 272.719
[dim=101] time: 277.025
[dim=102] time: 281.272
[dim=103] time: 285.668
[dim=104] time: 290.006
[dim=105] time: 294.431
[dim=106] time: 298.735
[dim=107] time: 303.287
[dim=108] time: 307.863
[dim=109] time: 311.874
[dim=110] time: 316.355
[dim=111] time: 320.89
[dim=112] time: 325.381
[dim=113] time: 329.618
[dim=114] time: 333.436
[dim=115] time: 338.163
[dim=116] time: 342.311
[dim=117] time: 346.265
[dim=118] time: 350.74
[dim=119] time: 355.554
[dim=120] time: 360.224
[dim=121] time: 364.254
[dim=122] Time of forward = 368.724sec.
AIC: 1958.73
k: 121

[dim=500] time: 148.419
[dim=499] time: 196.922
[dim=498] time: 238.494
[dim=497] time: 303.457
[dim=496] time: 376.667
[dim=495] time: 424.961
[dim=494] time: 462.889
[dim=493] time: 501.981
[dim=492] time: 541.865
[dim=491] time: 588.665
[dim=490] time: 640.357
[dim=489] time: 709.749
[dim=488] time: 757.235
[dim=487] time: 828.518
[dim=486] time: 904.229
[dim=485] time: 963.49
[dim=484] time: 1035.26
[dim=483] time: 1108.33
[dim=482] time: 1185.62
[dim=481] time: 1265.54
[dim=480] time: 1326.5
[dim=479] time: 1373.75
[dim=478] time: 1433.19
[dim=477] time: 1483.11
[dim=476] time: 1573.55
[dim=475] time: 1669.89
[dim=474] time: 1794.65
[dim=473] time: 1861.75
[dim=472] time: 1970.08
[dim=471] time: 2070.43
Time of backward = 2070.43sec.
AIC: 2445.64
k: 471
